"Type","ID","Original Name","Localized Name","English Translated Name","First Name (Original)","Last Name (Original)","First Name (Localized)","Last Name (Localized)","Gender","Localization Issues","Cultural Status","Localization Reason","Description","ROW_TYPE","VERIF_STATUS","ISSUE_COUNT","C0_CRITICAL_ISSUES","C1_CHARACTER_ISSUES","C2_CONTENT_ISSUES","C3_FORMAT_ISSUES","SUGGESTED_FIXES"
"Character","char_1","emily kaiser","émilie lempereur","Emily Kaiser","emily","kaiser","émilie","lempereur","Female","","LOCALIZED","'Émilie' is a classic and contemporary French equivalent of 'Emily'. The surname 'Kaiser' is German for 'Emperor,' which is directly translated to the French 'Lempereur' to maintain the powerful, dynastic feel of the family name, adhering to the localization strategy.","Emily Kaiser is the 22-year-old protagonist, a talented architect and interior designer from the wealthy and influential Kaiser family, which owns the Kaiser Konzern. The family name, Kaiser (German for 'emperor'), reflects their powerful and elite status. During her college years, she was known as the ""famous campus beauty"" and ""top beauty of California,"" and was once considered the ""perfect Kaiser daughter.""  The story begins as Emily returns from a successful business trip in Paris, only to discover her boyfriend, Jakob Miller, is engaged to her older sister, Sophia. This profound betrayal, coupled with her parents, Viktor and Luise Kaiser, disinheriting her in favor of Sophia and stripping her of her professional role at the Kaiser Konzern, leaves Emily devastated, angry, penniless, and alone.  In an impulsive and desperate act of revenge and a bid to regain control, she proposes marriage to the mysterious and intimidating Ethan Storm (later revealed as Ethan Williams), initially believing him to be Jakob's cousin. Their relationship begins as a contractual, secret marriage of convenience, marked by tension and antagonism, but evolves into a complex, volatile, and increasingly intimate bond with burgeoning passion. While Emily feels indebted to Ethan for repeatedly rescuing her from various dire situations, she also resents his coldness and manipulative tendencies, feeling he treats her like property. Despite this, she develops genuine feelings for him, even referring to him as ""Schatz"" (darling/treasure) at times, though she also yearns for freedom and financial independence, at one point deciding to leave him. She often cooks for him, using it as a form of understanding, subtle care, and even passive resistance.  Emily is characterized by her profound resilience, proud defiance, and unwavering determination. Despite continuous emotional turmoil, family manipulations, and professional setbacks, she pushes forward. Holding a Master's degree and described as highly accomplished, she strives to build her career on her own merit, without relying on her influential last name. After being fired from the family company, she works at ICM Design, then secures a position as Chief Designer at Talton Design (also referred to as Dalton Firma), where she often faces professional jealousy and sabotage.  Her family life is deeply toxic. Her parents, Viktor and Luise, are consistently portrayed as distant, critical, and harsh, always favoring Sophia. The only family member who showed her unconditional love was her grandmother, Elisa, whose death causes Emily immense grief. A major revelation later exposes that Emily is not the biological daughter of the Kaiser family, having been adopted after being abandoned by her birth parents. Early in the narrative, an ambiguity is introduced when Ethan's assistant mentions the 'Drew-Familie' freezing her accounts, suggesting a possible connection to another family name, which the adoption revelation might explain.  Emily endures a series of harrowing betrayals and public humiliations: *   Her design is stolen by Sophia, leading to a public humiliation where she is accused of plagiarism and fired from ICM Design. *   She is imprisoned for three days by her parents in a desolate, abandoned family home in Pennington, left to die of starvation and exposure, before being rescued by Ethan. This experience leaves her with severe trauma and recurring nightmares. *   She faces public humiliation orchestrated by rivals such as the malicious socialite Ruth Martin and her ambitious former friend Adriana. *   She is framed by her cousin, Tom Lennon, for a fire at the Lublin Hotel, leading to her arrest and a brutal assault in a holding cell, from which Ethan again rescues her. *   At her sister's engagement party, she is subjected to a public humiliation orchestrated by her family but courageously turns the tables by exposing Jacob's past lies. *   She also has a traumatic past involving a man named Zayn Larrson, who drugged her, making her vehemently opposed to similar tactics. She suffers from serious health issues, including potential infertility, which Ethan regrettably uses to manipulate her emotionally.  Her best friend, Lena Jones, is a loyal and supportive figure, affectionately calling her ""Em."" However, Lena also provides bold and manipulative advice on seducing Ethan and, in one instance, drugs him, causing a severe breach of trust between Emily and her husband. Other significant characters include her client, Sebastian Langston, who becomes a respectful admirer, and Liam Hunter, an old university friend who founds the firm where Emily works.  Emily is referred to by a multitude of names and titles throughout the story: *   Her full birth name is **Emily Kaiser**. *   After marrying Ethan, her legal name becomes **Emily Williams**, which appears on the marriage certificate. She is addressed as **Mrs. Williams** by Ethan's housekeeper, Berta, and hospital personnel, a title she initially finds foreign but eventually accepts when signing Ethan's surgery consent forms. *   Most commonly, she is referred to by her first name, **Emily**, and affectionately as **Em** by Lena. *   In formal or professional contexts, she is called **Miss Kaiser** or **Ms. Kaiser** by clients like Sebastian Langston, the salon owner, and reporters. Her full name, **Emily Kaiser**, appears on her business card and is used in official settings or when her identity is formally discussed, such as by police. Her initials **E. K.** are noted on her design sketches. *   Her older sister, Sophia, condescendingly calls her **Schwesterchen** (little sister) or **Schwester** (sister). *   Ethan primarily calls her **Emily**, sometimes uses **Emily Kaiser** in moments of playful tension, mockingly calls her **Schatz** (darling/treasure) in public, and possessively refers to her as **meine Charmeurin** (my charmer) and **meine Frau** (my wife). In a sarcastic moment, he refers to her as 'meine liebe Emily'. *   Ethan's associate, Daniel Kelly, addresses her as **Mrs. Emily**, **Schwägerin** (sister-in-law), and affectionately as **liebste Schwägerin** (dearest sister-in-law). *   Emily herself, in moments of anger or resentment, refers to her roles as 'die Köchin und die Haushälterin' (the cook and the housekeeper) and sarcastically calls herself 'Cinderella' when discussing her family's cruelty with Ethan. *   Her grandmother, in her confusion, calls her 'Sheryl.' *   Notably, the text contains a recurring error, mistakenly referring to her as ""Susan"" in several chapters (e.g., chapters 7, 11, 27, 65). There is also a likely typo where Felix refers to her as ""Mrs. Kaiser"" in chapter 99.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'émilie lempereur' starts with lowercase.",""
"Character","char_10","ethans großvater","le grand-père d'ethan","Ethan's grandfather","","","","","Male","","LOCALIZED","This is a descriptive role, not a proper name. 'Ethan's grandfather' is translated directly from German to its French equivalent, 'le grand-père d'Ethan'.","Ethan Storm's grandfather, addressed as 'Großvater', makes a brief appearance via a phone call. During this interaction, Ethan is notably curt and dismissive towards him, strongly suggesting a strained relationship between them. Ethan's internal monologue further reveals his belief that his grandfather, along with his mother, is responsible for his current position in life.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'le grand-père d'ethan' starts with lowercase.",""
"Character","char_100","der geschäftsführer","le directeur général","The Managing Director","","","","","Male","","LOCALIZED","This is a professional title. 'Der Geschäftsführer' (Managing Director) is translated to its French corporate equivalent, 'Le directeur général' (or DG), as specified in the strategy.","The unnamed Managing Director of the Kaiser Konzern is a functional character, referred to solely by his German title, 'Der Geschäftsführer'. In a decisive scene, he lays out the catastrophic state of the company to Viktor, citing a mass exodus of talent and an industry-wide boycott. He advises Viktor to sell the company and subsequently resigns his own position, an action that underscores the definitive collapse of the Kaiser Konzern.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'le directeur général' starts with lowercase.",""
"Character","char_103","bruno keeling","bruno fournier","Bruno Keeling","bruno","keeling","bruno","fournier","Male","","MIXED","The localized last name 'Caron' was incorrectly used for three different original last names ('keeling', 'kane', 'sawyer'), violating the many-to-one rule. To resolve this, a unique localized name is required for 'keeling'. The name 'Fournier' has been chosen as it is a culturally appropriate French surname that is not used by any other character, thus creating a valid 1:1 mapping ('keeling' -\> 'fournier') and eliminating the conflict. The mention map has been updated accordingly.","Bruno Keeling is the deputy director at the Hudson Corporation. An opportunistic individual easily swayed by power, he views an alliance with Sophia Kaiser as crucial for his career advancement. Sophia successfully coerced him into orchestrating an ""accident"" on the construction site to harm Emily, promising him lucrative contracts in return. He is referred to by his full name, 'Bruno Keeling', or simply 'Bruno'.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'bruno fournier' starts with lowercase.",""
"Character","char_104","mr. frank","monsieur franck","Mr. Frank","","frank","","franck","Male","","LOCALIZED","Following the glossary, the surname 'Frank' is adapted to its common French spelling, 'Franck'. The title 'Mr.' is translated to 'Monsieur'.","Mr. Frank is a manager at the Hudson Corporation. He initially contacts Emily about a design project, his voice sounding subservient. During a scheduled meeting at the corporation, he greets Emily before being conveniently called away to deal with an 'urgent matter,' leaving her to be led to a dangerous construction site by another employee. While his initial involvement in the plot against Emily appears unclear, it is later revealed that he is a pawn in Sophia's schemes. He subsequently lures Emily into a trap at the 'Linden Clubhouse' under the pretense of a business meeting, where she is ambushed by Sophia.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'monsieur franck' starts with lowercase.",""
"Character","char_105","hector whitaker","hector valois","Hector Whitaker","hector","whitaker","hector","valois","Male","","MIXED","As per the strategy's glossary, the first name 'Hector' is retained as it is used in France. The English surname 'Whitaker' is replaced with 'Valois', a historical and noble-sounding French surname that gives the character a more grounded French identity.","Hector Whitaker is an employee of the Hudson Corporation, stepping in for the absent Mr. Frank. He leads Emily to the construction site where the 'accident' occurs. Following the incident, he exhibits concern, yet his true involvement—as either an unwitting pawn or a willing accomplice in Sophia's plan—remains unspecified. He is often referred to simply as Hector.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'hector valois' starts with lowercase.",""
"Character","char_109","stephen martin","stéphane martin","Stephen Martin","stephen","martin","stéphane","martin","Male","","MIXED","'Stéphane' is the French equivalent of 'Stephen'. The surname 'Martin' is kept as it is a very common French name, ensuring consistency with his sister, Ruth Martin.","As the heir to the influential Martin family and brother of Ruth, he holds significant status. He is a strategic target for Sophia, who seeks to form an alliance with his family. Viktor Kaiser also views him as a superior match for Sophia compared to Jacob Miller. Furthermore, he is described as being 'pretty interested' in Sophia himself.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'stéphane martin' starts with lowercase.",""
"Character","char_11","oliver whistle","olivier sifflet","oliver whistle","oliver","whistle","olivier","sifflet","Male","","LOCALIZED","'Olivier' is the standard French form of 'Oliver'. The surname 'Whistle' is translated to 'Sifflet'. This choice is slightly pejorative and comical, fitting the arrogant and obnoxious nature of the character, while also being a plausible, if unusual, French surname.","A wealthy and arrogant man from Emily's college past, known for his history of harassing women. He encounters Emily and Ethan at the registry office, where he acts provocatively, insulting Ethan and offering to buy Emily off for ten thousand dollars. Ethan promptly and physically intimidates him, forcing him to leave. The man attempts to assert his power by identifying his family name as 'Whistler,' an English surname, intending to imply he is not to be challenged.","MAIN","WARN","2","","[first_name_collision] Localised first name 'olivier' shared with: char_89.","","[capitalisation] Localized name 'olivier sifflet' starts with lowercase.","Consider differentiating to avoid reader confusion."
"Character","char_110","dr. kane","docteur caron","Dr. Kane","","kane","","roche","Male","","LOCALIZED","The localized last name 'Caron' created a many-to-one conflict by mapping from multiple original names ('keeling', 'kane', 'sawyer'). To ensure a unique 1:1 mapping as required, a new localized surname was needed for 'kane'. 'Roche' was selected as it is an authentic French surname with no existing conflicts in the story's character list. This correction establishes a unique mapping ('kane' -\> 'roche') and resolves the error. The mention map has been updated from 'Docteur Caron' to 'Docteur Roche'.","This doctor attends to Ethan in Chapter 99 at the hospital, where he conducts an examination. Likely influenced by a previous doctor's misunderstanding, he advises both Ethan and Emily to be ""careful."" He further exacerbates Emily's embarrassment by explicitly referring to her as Ethan's ""Frau"" or wife.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'docteur caron' starts with lowercase.",""
"Character","char_111","der arzt","le médecin","The Doctor","","","","","Male","","LOCALIZED","This is a descriptive role for an unnamed character. The German 'Der Arzt' (the doctor) and 'Doktor' are translated into their French equivalents, 'le médecin' and 'le docteur'. 'Le médecin' is chosen as the canonical name as it best describes the role.","Referred to by his title, 'Doktor', this unnamed physician treats Ethan in Chapters 97 and 98. He initially advises Emily on Ethan's diet. Later, he walks in on an embarrassing situation involving Emily and a bedpan, which he completely misinterprets as a sexual encounter. This profound misunderstanding causes extreme awkwardness and leads him to caution Ethan and Emily to be 'careful', citing Ethan's recent surgery.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'le médecin' starts with lowercase.",""
